Date,Close,Rate,,FV,PV,,,Date,Close,FV,PV,,,,,,,,
11-Jan-23,17895.7,-0.102991211,,1.282827718,-1,,,23-01-2013,6054.299805,1.216837659,-1,,,,,,,,
12-Jan-23,17858.2,-0.209547545,,1.285521497,-1,,,24-01-2013,6019.350098,1.223902893,-1,,,,,,,,
13-Jan-23,17956.6,0.55100738,,1.278476995,-1,,,25-01-2013,6074.649902,1.212761249,-1,,,,,,,,
16-Jan-23,17894.85,-0.3438847,,1.282888652,-1,,,28-01-2013,6074.799805,1.212731322,-1,,,,,,,,
17-Jan-23,18053.3,0.885450283,,1.27162901,-1,,,29-01-2013,6049.899902,1.217722627,-1,,,,,,,,
18-Jan-23,18165.35,0.62066215,,1.263785173,-1,,,30-01-2013,6055.75,1.216546258,-1,,,,,,,,
19-Jan-23,18107.85,-0.316536703,,1.26779822,-1,,,31-01-2013,6034.75,1.220779651,-1,,,,,,,,
20-Jan-23,18027.65,-0.442901835,,1.273438302,-1,,,01-02-2013,5998.899902,1.228075167,-1,,,,,,,,
23-Jan-23,18118.55,0.504225454,,1.267049516,-1,,,04-02-2013,5987.25,1.230464738,-1,,,,,,,,
24-Jan-23,18118.3,-0.001379801,,1.267066999,-1,,,05-02-2013,5956.899902,1.236733892,-1,,,,,,,,
25-Jan-23,17891.95,-1.249289392,,1.283096588,-1,,,06-02-2013,5959.200195,1.236256504,-1,,,,,,,,
27-Jan-23,17604.35,-1.607426804,,1.304058372,-1,,,07-02-2013,5938.799805,1.240503173,-1,,,,,,,,
30-Jan-23,17648.95,0.253346474,,1.300762935,-1,,,08-02-2013,5903.5,1.247920725,-1,,,,,,,,
31-Jan-23,17662.15,0.074791985,,1.299790796,-1,,,11-02-2013,5897.850098,1.249116183,-1,,,,,,,,
01-Feb-23,17616.3,-0.25959467,,1.303173765,-1,,,12-02-2013,5922.5,1.243917265,-1,,,,,,,,
02-Feb-23,17610.4,-0.033491709,,1.303610367,-1,,,13-02-2013,5932.950195,1.24172625,-1,,,,,,,,
03-Feb-23,17854.05,1.383557443,,1.285820304,-1,,,14-02-2013,5896.950195,1.249306804,-1,,,,,,,,
06-Feb-23,17764.6,-0.501006774,,1.292294789,-1,,,15-02-2013,5887.399902,1.251333377,-1,,,,,,,,
07-Feb-23,17721.5,-0.24261734,,1.295437745,-1,,,18-02-2013,5898.200195,1.249042039,-1,,,,,,,,
08-Feb-23,17871.7,0.847558051,,1.284550434,-1,,,19-02-2013,5939.700195,1.240315127,-1,,,,,,,,
09-Feb-23,17893.45,0.12170079,,1.282989027,-1,,,20-02-2013,5943.049805,1.239616063,-1,,,,,,,,
10-Feb-23,17856.5,-0.206500144,,1.285643883,-1,,,21-02-2013,5852.25,1.258849161,-1,,,,,,,,
13-Feb-23,17770.9,-0.479377258,,1.291836654,-1,,,22-02-2013,5850.299805,1.259268797,-1,,,,,,,,
14-Feb-23,17929.85,0.894439786,,1.280384387,-1,,,25-02-2013,5854.75,1.258311627,-1,,,,,,,,
15-Feb-23,18015.85,0.479647069,,1.274272377,-1,,,26-02-2013,5761.350098,1.278710697,-1,,,,,,,,
16-Feb-23,18035.85,0.111013358,,1.272859333,-1,,,27-02-2013,5796.899902,1.270868934,-1,,,,,,,,
17-Feb-23,17944.2,-0.508154592,,1.279360462,-1,,,28-02-2013,5693.049805,1.294051563,-1,,,,,,,,
20-Feb-23,17844.6,-0.555054001,,1.286501238,-1,,,01-03-2013,5719.700195,1.288022055,-1,,,,,,,,
21-Feb-23,17826.7,-0.100310458,,1.28779303,-1,,,04-03-2013,5698.5,1.292813898,-1,,,,,,,,
22-Feb-23,17554.3,-1.528045011,,1.307776442,-1,,,05-03-2013,5784.25,1.273648269,-1,,,,,,,,
23-Feb-23,17511.25,-0.245239058,,1.310991505,-1,,,06-03-2013,5818.600098,1.266129288,-1,,,,,,,,
24-Feb-23,17465.8,-0.259547434,,1.314403005,-1,,,07-03-2013,5863.299805,1.25647677,-1,,,,,,,,
27-Feb-23,17392.7,-0.418532217,,1.319927326,-1,,,08-03-2013,5945.700195,1.239063484,-1,,,,,,,,
28-Feb-23,17303.95,-0.510271551,,1.326697084,-1,,,11-03-2013,5942.350098,1.239762027,-1,,,,,,,,
01-Mar-23,17450.9,0.849228066,,1.315525274,-1,,,12-03-2013,5914.100098,1.245684023,-1,,,,,,,,
02-Mar-23,17321.9,-0.739216889,,1.32532228,-1,,,13-03-2013,5851.200195,1.25907502,-1,,,,,,,,
03-Mar-23,17594.35,1.572864409,,1.304799552,-1,,,14-03-2013,5908.950195,1.24676969,-1,,,,,,,,
06-Mar-23,17711.45,0.665554567,,1.296172815,-1,,,15-03-2013,5872.600098,1.254486918,-1,,,,,,,,
08-Mar-23,17754.4,0.242498497,,1.293037219,-1,,,18-03-2013,5835.25,1.262516602,-1,,,,,,,,
09-Mar-23,17589.6,-0.92822061,,1.305151908,-1,,,19-03-2013,5745.950195,1.28213781,-1,,,,,,,,
10-Mar-23,17412.9,-1.004570883,,1.318396132,-1,,,20-03-2013,5694.399902,1.293744754,-1,,,,,,,,
13-Mar-23,17154.3,-1.48510587,,1.338270871,-1,,,21-03-2013,5658.75,1.301895295,-1,,,,,,,,
14-Mar-23,17043.3,-0.647068082,,1.346986792,-1,,,22-03-2013,5651.350098,1.303600002,-1,,,,,,,,
15-Mar-23,16972.15,-0.417466101,,1.352633579,-1,,,25-03-2013,5633.850098,1.307649276,-1,,,,,,,,
16-Mar-23,16985.6,0.079247473,,1.3515625,-1,,,26-03-2013,5641.600098,1.305852927,-1,,,,,,,,
17-Mar-23,17100.05,0.673806047,,1.342516542,-1,,,28-03-2013,5682.549805,1.296442663,-1,,,,,,,,
20-Mar-23,16988.4,-0.652922067,,1.351339738,-1,,,01-04-2013,5704.399902,1.291476777,-1,,,,,,,,
21-Mar-23,17107.5,0.70106661,,1.341931901,-1,,,02-04-2013,5748.100098,1.281658265,-1,,,,,,,,
22-Mar-23,17151.9,0.259535292,,1.33845813,-1,,,03-04-2013,5672.899902,1.29864798,-1,,,,,,,,
23-Mar-23,17076.9,-0.43726934,,1.344336501,-1,,,04-04-2013,5574.75,1.321512175,-1,,,,,,,,
24-Mar-23,16945.05,-0.772095638,,1.354796829,-1,,,05-04-2013,5553.25,1.326628551,-1,,,,,,,,
27-Mar-23,16985.7,0.239893066,,1.351554543,-1,,,08-04-2013,5542.950195,1.329093667,-1,,,,,,,,
28-Mar-23,16951.7,-0.200168377,,1.354265354,-1,,,09-04-2013,5495.100098,1.340667116,-1,,,,,,,,
29-Mar-23,17080.7,0.760985624,,1.344037422,-1,,,10-04-2013,5558.700195,1.325327818,-1,,,,,,,,
31-Mar-23,17359.75,1.633715246,,1.322432639,-1,,,11-04-2013,5594,1.316964605,-1,,,,,,,,
03-Apr-23,17398.05,0.220625297,,1.319521441,-1,,,12-04-2013,5528.549805,1.3325556,-1,,,,,,,,
05-Apr-23,17557.05,0.913895523,,1.307571602,-1,,,15-04-2013,5568.399902,1.323019203,-1,,,,,,,,
06-Apr-23,17599.15,0.239789714,,1.304443681,-1,,,16-04-2013,5688.950195,1.294984092,-1,,,,,,,,
10-Apr-23,17624.05,0.141484106,,1.302600708,-1,,,17-04-2013,5688.700195,1.295041002,-1,,,,,,,,
11-Apr-23,17722.3,0.557476857,,1.295379268,-1,,,18-04-2013,5783.100098,1.273901519,-1,,,,,,,,
12-Apr-23,17812.4,0.508399023,,1.288826885,-1,,,22-04-2013,5834.399902,1.262700556,-1,,,,,,,,
13-Apr-23,17828,0.087579439,,1.287699125,-1,,,23-04-2013,5836.899902,1.262159729,-1,,,,,,,,
17-Apr-23,17706.85,-0.679549024,,1.296509543,-1,,,25-04-2013,5916.299805,1.245220872,-1,,,,,,,,
18-Apr-23,17660.15,-0.263739739,,1.299937996,-1,,,26-04-2013,5871.450195,1.254732605,-1,,,,,,,,
19-Apr-23,17618.75,-0.234426095,,1.302992551,-1,,,29-04-2013,5904.100098,1.247793885,-1,,,,,,,,
20-Apr-23,17624.45,0.032351898,,1.302571144,-1,,,30-04-2013,5930.200195,1.242302074,-1,,,,,,,,
21-Apr-23,17624.05,-0.002269574,,1.302600708,-1,,,02-05-2013,5999.350098,1.227983011,-1,,,,,,,,
24-Apr-23,17743.4,0.677199622,,1.293838836,-1,,,03-05-2013,5944,1.2394179,-1,,,,,,,,
25-Apr-23,17769.25,0.145687974,,1.29195661,-1,,,06-05-2013,5971.049805,1.23380314,-1,,,,,,,,
26-Apr-23,17813.6,0.249588474,,1.288740064,-1,,,07-05-2013,6043.549805,1.219002116,-1,,,,,,,,
27-Apr-23,17915.05,0.56950869,,1.281442139,-1,,,08-05-2013,6069.299805,1.213830299,-1,,,,,,,,
28-Apr-23,18065,0.837005758,,1.270805425,-1,,,09-05-2013,6050.149902,1.217672309,-1,,,,,,,,
02-May-23,18147.65,0.457514531,,1.265017785,-1,,,10-05-2013,6094.75,1.208761639,-1,,,,,,,,
03-May-23,18089.85,-0.318498538,,1.269059721,-1,,,13-05-2013,5980.450195,1.231863783,-1,,,,,,,,
04-May-23,18255.8,0.917365263,,1.257523636,-1,,,14-05-2013,5995.399902,1.228792094,-1,,,,,,,,
05-May-23,18069,-1.023236451,,1.270524102,-1,,,15-05-2013,6146.75,1.198535812,-1,,,,,,,,
08-May-23,18264.4,1.08141015,,1.256931517,-1,,,16-05-2013,6169.899902,1.19403882,-1,,,,,,,,
09-May-23,18265.95,0.008486455,,1.256824857,-1,,,17-05-2013,6187.299805,1.190680948,-1,,,,,,,,
10-May-23,18315.1,0.2690799,,1.25345207,-1,,,20-05-2013,6156.899902,1.196559976,-1,,,,,,,,
11-May-23,18297,-0.098825559,,1.254692026,-1,,,21-05-2013,6114.100098,1.204936112,-1,,,,,,,,
12-May-23,18314.8,0.097283708,,1.253472601,-1,,,22-05-2013,6094.5,1.208811223,-1,,,,,,,,
15-May-23,18398.85,0.45891847,,1.247746462,-1,,,23-05-2013,5967.049805,1.234630218,-1,,,,,,,,
16-May-23,18286.5,-0.610635991,,1.255412463,-1,,,24-05-2013,5983.549805,1.23122565,-1,,,,,,,,
17-May-23,18181.75,-0.572826949,,1.262645235,-1,,,27-05-2013,6083.149902,1.211066654,-1,,,,,,,,
18-May-23,18129.95,-0.284901068,,1.266252803,-1,,,28-05-2013,6111.25,1.205498057,-1,,,,,,,,
19-May-23,18203.4,0.405130737,,1.261143523,-1,,,29-05-2013,6104.299805,1.206870605,-1,,,,,,,,
22-May-23,18314.4,0.609776196,,1.253499978,-1,,,30-05-2013,6124.049805,1.202978459,-1,,,,,,,,
23-May-23,18348,0.183462194,,1.251204491,-1,,,31-05-2013,5985.950195,1.230731924,-1,,,,,,,,
24-May-23,18285.4,-0.3411816,,1.255487985,-1,,,03-06-2013,5939.299805,1.240398741,-1,,,,,,,,
25-May-23,18321.15,0.195511173,,1.253038155,-1,,,04-06-2013,5919.450195,1.244558153,-1,,,,,,,,
26-May-23,18499.35,0.972646368,,1.240967926,-1,,,05-06-2013,5923.850098,1.243633765,-1,,,,,,,,
29-May-23,18598.65,0.536775616,,1.234342278,-1,,,06-06-2013,5921.399902,1.244148364,-1,,,,,,,,
30-May-23,18633.85,0.189261049,,1.232010561,-1,,,07-06-2013,5881,1.25269512,-1,,,,,,,,
31-May-23,18534.4,-0.533706132,,1.238621158,-1,,,10-06-2013,5878,1.253334468,-1,,,,,,,,
